ward,year,NDVI,NDBI,LST,rainfall
1,2016,-0.03414204762272005,0.1523712983952341,34.656413249979096,778.0975234508514
2,2016,0.21777341250266827,0.027778696144963273,38.418154076307914,778.0975234508514
3,2016,0.318012675007354,0.004094510412986254,38.30190483905459,827.5122110432593
4,2016,0.305221985998917,0.0030847156663975,38.626080636512384,843.4580484496222
5,2016,0.1776720449373474,0.03197288837051453,38.27614427930985,831.6871212005615
6,2016,0.2878635120229402,-0.011757231341335536,37.805812894049005,844.6591634750366
7,2016,0.34998521392400705,-0.0400224060304583,38.20153189353679,846.6404521130025
8,2016,0.07041098623622935,0.08038375707279141,38.53498536691411,844.6591634750366
9,2016,0.06610399685887822,0.08912794522466949,38.32071929510016,841.0558183987935
10,2016,0.2376210873678009,0.052655323525862045,39.983808865132204,845.3796320706607
11,2016,0.01717800758473381,0.0948251510746694,37.098734179651146,847.5410378575325
12,2016,0.19156373196065166,0.07979032771577597,40.08367907393684,847.5410378575325
13,2016,0.1865729263142835,0.07882022091477581,40.86058973551654,847.5410378575325
14,2016,-0.04194275628994946,0.09464539253147009,36.60600682892223,847.5410378575325
127,2016,0.28839058882957563,0.02971342642819379,40.474391189854764,872.6881410564696
128,2016,0.25983256354710416,0.04407045841119147,39.76053093112763,866.7451084852219
129,2016,0.26351499705133463,0.04070918001218928,41.14884992299083,866.7451084852219
130,2016,0.17544122571082346,0.08587247773781513,42.11892419716846,866.7451084852219
131,2016,0.3266609745689411,0.0011258651654228473,41.036076231493375,866.7451084852219
132,2016,0.350312634138458,-0.013534034832089587,40.75529799025818,866.7451084852219
133,2016,0.29556117579210944,0.017676293402963297,42.022852732071414,876.9955206559255
134,2016,0.3050120492520233,0.015085767873345233,41.42647262912993,911.1635612249374
135,2016,0.24666821941373354,0.05158709580535838,41.752543727075796,911.1635612249374
136,2016,0.30514524336045656,0.016765158299887395,41.90722530308191,911.1635612249374
137,2016,0.27849091546839794,0.031025413141815852,40.493890228233745,866.7451084852219
138,2016,0.23597106640216964,0.054378718085442,40.45124676105216,866.7451084852219
139,2016,0.24360051988240738,0.05400678598742369,41.63727722240739,866.7451084852219
140,2016,0.21021724862052016,0.0855764954638739,41.66125935146015,911.1635612249374
141,2016,0.25073576094620287,0.04968817061511899,41.85544061115634,911.1635612249374
142,2016,0.18057951614070708,0.09630596913670927,41.037730857125915,895.2998281036105
143,2016,0.34132616028451607,0.007865388479563824,40.156775779606036,880.6489671797586
144,2016,0.2926641110868058,0.03246685545311305,40.73261118819603,866.7451084852219
145,2016,0.25077596150049697,0.04025372277789036,41.25761455601203,869.0039986932978
146,2016,0.2167414406044701,0.07159901445072575,42.36159423071849,866.7451084852219
147,2016,0.2983635600542253,0.027965257275919673,41.04967903116668,866.7451084852219
148,2016,0.17487940882364633,0.0911891783728965,40.628443881901845,866.7451084852219
149,2016,0.35590329912526875,-0.017913663799977098,39.0737841328266,866.7451084852219
150,2016,0.13596019015160057,0.09134092532845531,39.94972910708481,866.7451084852219
151,2016,0.28511154288791635,0.05292225964926599,40.79387721992043,866.7451084852219
152,2016,0.30581361774229826,0.021653519464339036,39.6434999541692,866.7451084852219
153,2016,0.205245524347907,0.04327338656480868,39.42933415940975,866.7451084852219
154,2016,0.27759517573709575,0.046933964636206714,41.258771568737366,866.7451084852219
155,2016,0.2639108214793576,0.0383464278422826,40.439670577228206,866.7451084852219
156,2016,0.29883580701259127,0.03399662293755296,41.148026172370756,866.7451084852219
157,2016,0.4388509412633986,-0.023045305878274146,38.41547712666928,866.7451084852219
